name,id,house,senate,orphan
Lecompton Township Precinct 57 Part 3,57.3,,,x
Lawrence Precinct 42 Part 3,42.3,45,2
Lawrence Precinct 42 Part 4,42.4,45,2
Lawrence Precinct 42 Part 2,42.2,,2
Lawrence Precinct 6,6.1,,2
Lawrence Precinct 44 Part 1,44.1,,2,x
Lawrence Precinct 1,1.1,46,2
North Eudora Precinct 52 Part 1,52.1,,,x
Lawrence Precinct 73,73.1,45,2
Lawrence Precinct 70 Part 1,70.1,45,2,x
Lawrence Precinct 5,5.1,,2,x
Lawrence Precinct 20,20.1,,2
Lawrence Precinct 43 Part 3,43.3,,2
Lawrence Precinct 13,13.1,,2
Lawrence Precinct 43 Part 2,43.2,45,2
Lawrence Precinct 4,4.1,,2
Lawrence Precinct 43 Part 1,43.1,,2
Lawrence Precinct 45,45.1,,2
Lawrence Precinct 39,39.1,46,2
Lawrence Precinct 2,2.1,46,2
Lawrence Precinct 3,3.1,,2
Lawrence Precinct 11,11.1,,2
Lawrence Precinct 12,12.1,,2
Lawrence Precinct 18,18.1,,2
Lawrence Precinct 7,7.1,46,2,x
Lawrence Precinct 8,8.1,46,2
Lawrence Precinct 48,48.1,,2,x
Lawrence Precinct 35 Part 1,35.1,46,
Lawrence Precinct 15,15.1,,2
Lawrence Precinct 40,40.1,46,2
Lawrence Precinct 21,21.1,46,2
Lawrence Precinct 23,23.1,44,2
Lawrence Precinct 25,25.1,46,2,x
Lawrence Precinct 33,33.1,,2
Lawrence Precinct 36,36.1,,
Lawrence Precinct 49,49.1,,
Lawrence Precinct 10,10.1,,2,x
Lawrence Precinct 16,16.1,,,x
Lawrence Precinct 24,24.1,44,
Lawrence Precinct 19,19.1,,2
Lawrence Precinct 26,26.1,,2,x
Lawrence Precinct 77,77.1,,,x
Lawrence Precinct 37,37.1,,,x
Lawrence Precinct 34 Part 1,34.1,,
Lawrence Precinct 47,47.1,,,x
Lawrence Precinct 27,27.1,,2,x
South Eudora Precinct 53 Part 2,53.2,,
Lawrence Precinct 28,28.1,10,
Lawrence Precinct 30 Part 2,30.2,,,x
West Eudora Precinct 50 Part 1,50.1,42,3
Lawrence Precinct 29,29.1,10,,x
Lawrence Precinct 14,14.1,,,x
Lawrence Precinct 22,22.1,,,x
Lawrence Precinct 46 Part 2,46.2,45,,x
West Wakarusa Precinct 66 Part 2,66.2,45,
Lawrence Precinct 31,31.1,10,3
Lawrence Precinct 32,32.1,,3,x
Lawrence Precinct 46 Part 3,46.3,45,19
West Wakarusa Precinct 66 Part 3,66.3,44,3,x
Vinland Precinct 63 Part 2,63.2,,
Willow Springs Township Precinct 67 Part 4,67.4,,
Northwest Baldwin Precinct 60 Part 1,60.1,,3
Northeast Baldwin Precinct 61 Part 1,61.1,,
South Baldwin Precinct 62 Part 2,62.2,,
Lawrence Precinct 74 Part 1,74.1,45,2,x
Lawrence Precinct 68,68.1,45,19
Lawrence Precinct 69,69.1,10,3
East Wakarusa Precinct 65 Part 4 H46,65.4,46,
Central Eudora Precinct 54,54.1,42,3
Marion Township Precinct 59 Part 7,59.7,54,19
Clinton Township Precinct 51 Part 1,51.1,45,19,x
Kanwaka Township Precinct 56 Part 1,56.1,,
Kanwaka Township Precinct 56 Part 3,56.3,45,
Big Springs Township Precinct 58 Part 1,58.1,,,x
Lecompton Township Precinct 57 Part 1,57.1,,2
Lecompton Township Precinct 57 Part 2,57.2,,
Northwest Baldwin Precinct 60 Part 2,60.2,10,3
Northwest Baldwin Precinct 60 Part 3,60.3,10,3
Willow Springs Township Precinct 67 Part 2,67.2,,
Willow Springs Township Precinct 67 Part 3,67.3,,
Marion Township Precinct 59 Part 3,59.3,45,19
Marion Township Precinct 59 Part 4,59.4,,
South Baldwin Precinct 62 Part 1,62.1,,,x
Vinland Precinct 63 Part 1,63.1,10,3,x
South Eudora Precinct 53 Part 1,53.1,,,x
East Wakarusa Precinct 65 Part 3 H10,65.3,10,3,x
East Wakarusa Precinct 65 Part 1 H10,65.1,10,3,x
South Baldwin Precinct 62 Part 3,62.3,10,3
Northeast Baldwin Precinct 61 Part 2,61.2,10,3
South Baldwin Precinct 62 Part 6,62.6,,
Vinland Precinct 63 Part 3,63.3,,3
South Eudora Precinct 53 Part 3,53.3,,3
North Eudora Precinct 52 Part 2,52.2,,3
West Eudora Precinct 50 Part 3,50.3,,3
Big Springs Township Precinct 58 Part 2,58.2,,19
Clinton Township Precinct 51 Part 2,51.2,,19
WAK 000657,65.7,46,3
Lawrence Precinct 71,71.1,45,2,x
Lawrence Precinct 72,72.1,45,2
North Eudora Precinct 52 Part 3,52.3,42,3
Lawrence Precinct 30 Part 1,30.1,,,x
Lawrence Precinct 34 Part 2,34.2,10,3,x
Lawrence Precinct 35 Part 2,35.2,46,,x
Lawrence Precinct 41 Part 4,41.4,,2,x
Lawrence Precinct 41 Part 3,41.3,,,x
Lawrence Precinct 41 Part 1,41.1,,
Lawrence Precinct 42 Part 1,42.1,,2
Lawrence Precinct 44 Part 2,44.2,,2,x
Lawrence Precinct 46 Part 1,46.1,,
South Eudora Precinct 53 Part 5,53.5,,3
Grant Township Precinct 55 Part 3,55.3,,
Grant Township Precinct 55 Part 1,55.1,,,x
Grant Township Precinct 55 Part 2,55.2,,,x
Kanwaka Township Precinct 56 Part 4,56.4,45,,x
Kanwaka Township Precinct 56 Part 5,56.5,45,
Lecompton Township Precinct 57 Part 4,57.4,45,
Marion Township Precinct 59 Part 6,59.6,,19
Marion Township Precinct 59 Part 2,59.2,,
Marion Township Precinct 59 Part 1,59.1,,19,x
Marion Township Precinct 59 Part 5,59.5,,19
North Wakarusa Precinct 64 Part 2,64.2,,2
North Wakarusa Precinct 64 Part 3,64.3,,2,x
West Wakarusa Precinct 66 Part 5,66.5,,,x
West Wakarusa Precinct 66 Part 1,66.1,,,x
West Wakarusa Precinct 66 Part 7,66.7,,,x
Willow Springs Township Precinct 67 Part 5,67.5,,,x
Willow Springs Township Precinct 67 Part 6,67.6,,
Willow Springs Township Precinct 67 Part 8,67.8,,
Willow Springs Township Precinct 67 Part 1,67.1,,,x
Willow Springs Township Precinct 67 Part 7,67.7,,,x
Lawrence Precinct 9,9.1,,2
Lawrence Precinct 78,78.1,,2
Lawrence Precinct 76,76.1,,3,x
Lawrence Precinct 75,75.1,45,
Lawrence Precinct 74 Part 2,74.2,45,2
South Eudora Precinct 53 Part 4,53.4,,3
West Eudora Precinct 50 Part 2,50.2,42,3
South Baldwin Precinct 62 Part 5,62.5,10,3
Northeast Baldwin Precinct 61 Part 3,61.3,10,3
Northeast Baldwin Precinct 61 Part 4,61.4,10,3
North Wakarusa Precinct 64 Part 5,64.5,45,2
Lawrence Precinct 38,38.1,,3
Lawrence Precinct 17,17.1,,
North Eudora Precinct 52 Twp Part 4,52.4,42,3
North Eudora Precinct 52 Twp Part 5,52.5,42,3
South Eudora Precinct 53 H42 Twp Part 6,53.6,,
South Eudora Precinct 53 Part 7,53.7,,3
Kanwaka Township Precinct 56 Part 6,56.6,45,
Clinton Township Precinct 51 Part 4,51.4,45,19
North Wakarusa Precinct 64 H45 Part 4,64.4,45,2
Lawrence Precinct 70 Part 2,70.2,45,2
Kanwaka Township Precinct 56 Part 2,56.2,,19
Kanwaka Township Precinct 56 Part 8,56.8,45,
East Wakarusa Precinct 65 Part 6 S2 H46,65.6,46,2
East Wakarusa Precinct 65 Part 2 H10,65.2,,
East Wakarusa Precinct 65 H10,65.5,10,3
WAK 000659,65.9,10,3
WAK 000658,65.8,46,3
Lawrence Precinct 41 Part 6,41.6,45,3
Lawrence Precinct 41 Part 2,41.2,,,x
Lawrence Precinct 41 Part 5,41.5,45,3
Kanwaka Township Precinct 56 Part 7,56.7,,19
Clinton Township Precinct 51 Part 3,51.3,45,
Clinton Township Precinct 51 Part 5,51.5,45,19
North Wakarusa Precinct 64 Part 1,64.1,45,2
North Wakarusa Precinct 64 Part 6,64.6,45,2
West Wakarusa Precinct 66 Part 4,66.4,,,x
West Wakarusa Precinct 66 Part 9,66.9,,3
West Wakarusa Precinct 66 Part 8,66.8,45,3
